source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,Stock market update: Power stocks up as market rises,The 30-share BSE Sensex was  up  141.52 points at 72782.71,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-up-as-market-rises/articleshow/108696181.cms,"https://img.etimg.com/thumb/msid-83608600,width-1200,height-630,imgsize-23742,overlay-etmarkets/photo.jpg",2024-03-22T05:04:47Z,"NEW DELHI: Power stocks were trading higher on Friday at 10:34AM NTL(up 250.00%), Inox Wind Ltd.(up 5.00%), Reliance Power Ltd.(up 5.00%), Transformers &amp; Rectifiers(India)Ltd.(up 4.99%), Karma En… [+1405 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,Stock market update: Fertilisers stocks up as market falls,The 30-share BSE Sensex was  down  94.86 points at 72546.33,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-up-as-market-falls/articleshow/108695428.cms,"https://img.etimg.com/thumb/msid-83725308,width-1200,height-630,imgsize-48184,overlay-etmarkets/photo.jpg",2024-03-22T04:39:20Z,"NEW DELHI: Fertilisers stocks were trading higher on Friday at 10:09AM Mangalore Chemicals &amp; Fertilizers Ltd.(up 1.97%), Madras Fertilizers Ltd.(up 1.90%), Khaitan Chemicals &amp; Fertilizers Ltd… [+1504 chars]"
"{'id': None, 'name': 'Moneycontrol'}",Moneycontrol Hindi,"Buzzing Stocks: टाटा कम्युनिकेशंस से लेकर मझगांव डॉक तक, आज इन 10 शेयरों पर निवेशक रखें नजर","Buzzing Stocks in News: भारतीय शेयर बाजार के आज 22 मार्च को मामूली गिरावट के साथ लाल निशान में खुलने की उम्मीद है। गिफ्ट निफ्टी से मिल रहे संकेतों के मुताबिक, निफ्टी इंडेक्स आज करीब 23 अंकों की गिरावट के साथ कारोबार की शुरुआत कर सकता है। इस बीच आइए उन 10 शेयर…",https://hindi.moneycontrol.com/news/markets/buzzing-stocks-in-news-from-tata-communications-to-it-stocks-these-10-shares-are-making-headlines-today-1864891.html,https://images.moneycontrol.com/static-hindinews/2024/03/buzzingstocks3-770x433.jpg,2024-03-22T03:39:57Z,"Buzzing Stocks in News: 22 , 23 10 , -
1. IT !
 (Accenture) 2024 2-5 1-3 
2. (Tata Communications)
' (Novamesh)' 458 
3. (Mazagon Dock Shipbuilders)
 (MBPA) 14.55 ( ) MDL 29 , 1 2024 31 2053 35… [+368 chars]"
"{'id': None, 'name': 'BusinessLine'}",Team BL,"Share Market Highlights 22 March 2024: Sensex rises 190 pts, Nifty at 22,000; Automobile stocks go up","Sensex, Nifty updates on 22 March 2024 - Find here all the updates related to Sensex, Nifty, BSE, NSE, share prices and Indian stock markets for 22 March 2024. - Indian equity markets recover and maintain the momentum after opening in red following global mar…",https://www.thehindubusinessline.com/markets/stock-market-highlights-22-march-2024/article67976174.ece,https://bl-i.thgim.com/public/news/h492fs/article67554997.ece/alternates/LANDSCAPE_1200/stock%20market%200214021.jpg,2024-03-22T01:17:43Z,"<li></li>
March 22, 2024 16:14Currency Market Today: Rupee falls 35 paise to hit all-time low of 83.48 against US dollar
The rupee depreciated 35 paise to settle at an all-time low of 83.48 against… [+54071 chars]"
"{'id': None, 'name': 'Moneycontrol'}",Navisha Joshi,"Buzzing Stocks: Tata Communications, Mazagon Dock, Wipro, IREDA, Lemon Tree Hotels, LT and others","Stocks to watch: Check out the companies making headlines before the opening bell today, on March 22, 2024.",https://www.moneycontrol.com/news/photos/business/stocks/buzzing-stocks-tata-communications-mazagon-dock-wipro-ireda-lemon-tree-hotels-lt-and-others-12505311.html,https://images.moneycontrol.com/static-mcnews/2024/03/Nifty_sensex_marketup-2-770x433.jpg,2024-03-22T00:29:46Z,"Technology stocks in focus: IT services provider Accenture lowered its revenue forecast for fiscal year 2024 to 1-3 percent from 2-5 percent earlier, due to economic uncertainty leading clients to re… [+7171 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Kailash Babar,Tata Projects leases 1.2 lakh sq ft office space in Mumbai’s Powai for HQ,"The company has leased the space in commercial tower Cignus Powai, which is a project of K Raheja Corp's hospitality business Chalet Hotels, for a total term of five years. The Tata Son’s subsidiary will be paying rentals of nearly Rs 86 crores through the en…",https://economictimes.indiatimes.com/industry/services/property-/-cstruction/tata-projects-leases-1-2-lakh-sq-ft-office-space-in-mumbais-powai-for-hq/articleshow/108686187.cms,"https://img.etimg.com/thumb/msid-108686171,width-1200,height-630,imgsize-2243923,overlay-economictimes/photo.jpg",2024-03-21T17:00:28Z,"Tata Groups engineering, procurement and construction company Tata Projects has picked up over 1.2 lakh sq ft office space Mumbais Powai suburb through a long-term lease to set up its headquarters th… [+2420 chars]"
"{'id': None, 'name': 'Elconfidencialdigital.com'}",Agencias,PVH suministrará seguidores solares para un parque solar en Arabia Saudí de casi 1 GW,"MADRID, 21 (EUROPA PRESS) PV Hardware (PVH) suministrará seguidores solares al parque solar fotovoltaico 'Ar Rass 2', de 957 megavatios (MW) y situado en Arabia Saudí, informó la compañía. Este proyecto está liderado por ACWA Power y...",https://www.elconfidencialdigital.com/articulo/ultima-hora/pvh-suministrara-seguidores-solares-parque-solar-arabia-saudi-casi-1-gw/20240321133321747447.html,,2024-03-21T13:33:21Z,"MADRID, 21 (EUROPA PRESS)
 PV Hardware (PVH) suministrará seguidores solares al parque solar fotovoltaico 'Ar Rass 2', de 957 megavatios (MW) y situado en Arabia Saudí, informó la compañía.
 Este p… [+1031 chars]"
"{'id': None, 'name': 'BusinessLine'}",PTI,"Sensex, Nifty surge amid global markets rally on US Fed rate cut plans","Global markets rally as US Fed projects three rate cuts, Sensex and Nifty surge nearly 1%.",https://www.thehindubusinessline.com/markets/sensex-nifty-surge-amid-global-markets-rally-on-us-fed-rate-cut-plans/article67975825.ece,https://bl-i.thgim.com/public/incoming/okkis5/article67963374.ece/alternates/LANDSCAPE_1200/PO01_Rupee.jpg,2024-03-21T10:52:58Z,"Benchmark equity indices Sensex and Nifty surged nearly 1 per cent on Thursday in tandem with a rally in global markets after the US Fed projected three rate cuts this year.
 Rising for the second d… [+1460 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",PTI,"Sensex, Nifty surge amid global markets rally on US Fed rate cut plans","Sensex and Nifty surged 1% on US Fed's rate cut projection. Sensex peaked at 72,882.46, while Nifty reached 22,011.95. Top gainers included Tech Mahindra, Larsen & Toubro, and Bharti Airtel.",https://timesofindia.indiatimes.com/business/india-business/sensex-nifty-surge-amid-global-markets-rally-on-us-fed-rate-cut-plans/articleshow/108678584.cms,"https://static.toiimg.com/thumb/msid-108678678,width-1070,height-580,imgsize-732520,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",2024-03-21T10:45:38Z,"FD Calculator
When investing in a fixed deposit, the amount you deposit earns interest as per the prevailing...
Calculate Now"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ET Now,"Picks of the day: Buy L&T, short UPL, says Rahul Sharma","Rahul Sharma's market insights cover Larsen & Toubro's potential breakout, market choppiness, smallcap and midcap index analysis, positive metal sector outlook, and Muthoot Finance's expected up-move amid cautious FMCG sector sentiment. In metals, Sharma's to…",https://economictimes.indiatimes.com/markets/expert-view/picks-of-the-day-buy-lt-short-upl-says-rahul-sharma/articleshow/108674137.cms,"https://img.etimg.com/thumb/msid-108674189,width-1200,height-630,imgsize-26444,overlay-etmarkets/photo.jpg",2024-03-21T08:54:18Z,"Rahul Sharma, Director &amp; Head - Technical &amp; Derivatives Research, JM Financial Services, says: Larsen &amp; Toubro looks pretty solid at current levels. A technical breakout can take the stoc… [+5582 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,Stock market update: Mining stocks up as market rises,The 30-share BSE Sensex was  up  714.78 points at 72816.47,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-up-as-market-rises/articleshow/108666342.cms,"https://img.etimg.com/thumb/msid-83797651,width-1200,height-630,imgsize-32000,overlay-etmarkets/photo.jpg",2024-03-21T04:59:27Z,"NEW DELHI: Mining stocks were trading higher on Thursday at 10:29AM Ashapura Minechem Ltd.(up 5.00%), KIOCL Ltd.(up 3.75%), Gujarat Mineral Development Corporation Ltd.(up 2.99%), MOIL Ltd.(up 2.95%)… [+1005 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,Stock market update: Fertilisers stocks up as market rises,The 30-share BSE Sensex was  up  732.33 points at 72834.02,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-up-as-market-rises/articleshow/108666084.cms,"https://img.etimg.com/thumb/msid-82697732,width-1200,height-630,imgsize-184256,overlay-etmarkets/photo.jpg",2024-03-21T04:49:19Z,"NEW DELHI: Fertilisers stocks were trading higher on Thursday at 10:19AM Madhya Bharat Agro Products Ltd.(up 10.13%), Aries Agro Ltd.(up 4.55%), Khaitan Chemicals &amp; Fertilizers Ltd.(up 4.11%), Kr… [+1187 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,Stock market update: Sugar stocks up as market rises,The 30-share BSE Sensex was  up  665.96 points at 72767.65,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-up-as-market-rises/articleshow/108665759.cms,"https://img.etimg.com/thumb/msid-83608600,width-1200,height-630,imgsize-23742,overlay-etmarkets/photo.jpg",2024-03-21T04:39:11Z,"NEW DELHI: Sugar stocks were trading higher on Thursday at 10:09AM KCP Sugar &amp; Industries Corporation Ltd.(up 5.70%), Ponni Sugars(Erode)Ltd.(up 3.85%), Simbhaoli Sugars Ltd.(up 3.36%), Bajaj Hin… [+1090 chars]"
